what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855332154
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302855336892
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302855339386
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302855340598
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302855341457
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855348489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855348561
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855350568
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855379533
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855473085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855489983
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855498279
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855507083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1302855509311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855510914
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855516405
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855562448
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855570981
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302855578488
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855581611
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855775230
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302855776441
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302855779588
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855783992
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855784075
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302855793545
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302855797160
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302855797719
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302855798497
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302855802560
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302855809388
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302855810467
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302855812568
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302855813218
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302855819001
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302855819785
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302855827471
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302855827662
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855843209
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855927924
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302855944942
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855949351
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1302855952479
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1302855952616
started,bundle,org.eclipse.wst.validation.ui,1.2.204.v201004150700,"org.eclipse.wst.validation.ui",1302855958527
started,bundle,org.eclipse.wst.wsi.ui,1.0.501.v201004201506,"org.eclipse.wst.wsi.ui",1302855958614
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.103.v201101271715,"org.eclipse.wst.common.project.facet.ui",1302855960502
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855974849
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1302855975017
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302855982734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855993976
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855994104
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855999551
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302855999651
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1302856043692
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1302856043891
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1302856044129
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302856053205
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302856054947
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302856058840
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302856077551
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302856077603
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302856089994
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302856096603
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1302856096603
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1302856099129
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1302856099854
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1302856100172
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302856107498
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302856141590
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302856148136
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302856152499
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302856152711
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1302856152711
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302856156856
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302858070587
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302858074440
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302858074534
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302858091113
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302858122095
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1302858129094
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1302858129118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302858138431
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302858436134
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302858436239
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302858454660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302858455556
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302858458765
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302858490363
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302858490386
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302858522451
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302858559984
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302858566887
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302858568609
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302858570335
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302858570834
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302858570873
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302858570900
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302858570932
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302858570967
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302858571001
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302858571311
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302858571487
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302858571662
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302858571871
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302858573422
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1302858582590
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302858586315
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1302858596698
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302858599145
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302858663249
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302858663390
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302858666687
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1302858692034
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1302858692614
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302858714159
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302858748804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302858750238
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302858785184
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302858785274
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1302858789948
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302858794400
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302858794490
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1302858800007
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1302858802227
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1302858807079
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302858851353
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302858852187
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302858941389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302858947666
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302859017346
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302859030965
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1302859034951
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1302859039767
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1302859041303
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302859054122
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302859055792
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302859210248
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302859226509
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302859277646
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302859279929
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302859406794
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302859406922
