what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300353242427
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1300353242445
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300353250240
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300353252595
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300353268133
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300353303264
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300353304223
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300353340841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300353363873
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300353366866
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1300353366874
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300353368231
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300354073594
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300354096458
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300354272153
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1300354300568
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1300354304168
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1300354307044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300354307292
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1300354309480
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1300354310530
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1300354333444
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1300354333928
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1300354335976
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1300354343236
started,bundle,org.eclipse.equinox.p2.director,2.0.3.R36x_v20101117-1018,"org.eclipse.equinox.p2.director",1300354355731
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1300354368232
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1300357529016
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.3.R36x_v20101202,"org.eclipse.equinox.p2.touchpoint.eclipse",1300357529070
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1300357538362
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1300357538457
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300358390713
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1300358390725
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300358391621
error,log,,,"An error occurred while collecting items to be installed",1300358794966
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300358849215
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300358873630
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300358961776
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300358962559
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300358963175
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300358987264
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300358987452
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300358987612
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300358990526
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300359005364
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300359015033
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300359019891
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1300359019892
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300359023093
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300359024553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300359029538
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300359057713
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1300359057729
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300359058827
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300359059870
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300359060073
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300359064574
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1300359072170
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1300359072215
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300359090267
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300359091957
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300359108876
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300359113275
started,bundle,org.eclipse.jst.server.ui,1.1.101.v20100823b,"org.eclipse.jst.server.ui",1300359127805
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300359328090
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1300359328119
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300359333830
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300359339604
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300359344552
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300359347251
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1300359347265
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300359349284
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300359350764
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300359352297
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300359365691
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1300359365784
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300359390864
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300359393920
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300359393946
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300359393950
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300359395357
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300359396998
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300359403189
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300359403416
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300359407366
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1300359413111
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1300359413165
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300359428071
